Interaction_Date,KOL _Name,Current_Tier,Kol_Qualification,Therapeutic_Area,Speciality_within_TA,KOL_years_of_Experience,Adoption_Ladder,KOL_Location,KOL_Territory,SocialMedia_Twitter,SocialMedia_Linkedin,SocialMedia_YouTube,Overall_Kol_Rating,Connection_to_Advisory_Boards,Research_Participated,Research_Experience,Fundinghistory_researchgrants,Fundinghistory_ConsultingFees,Fundinghistory_researchgrants,No_Of_Publications,Trainings_Delivered,Professional_Certification,KOL_affiliations_academicinstitutions,KOL_Affiliations_Hospital_and_medical_Centres,KOL_Affiliations_ProfessionalAssocaitionsandsocities,KOL_Affiliations_Pharma_and_biotech_companies,KOL_Affiliations_Government_and_Regulatory_bodies,KOL_Affiliations_patientadvocacy_and_nonprofit_organisations,Internationa_Presentations_Presented,National_ntations_Presented,KOL_FollowUp,Previous_meeting_agenda,Previous_Meeting_SubTopics,Current_Discussion_Topic,Current_Meeting_Subtopics,Current_Channel_of_interaction,Company_Event,Interaction_intent,Items/topics_to_exchange,KOLMSL_Relation,Next_Action_Items,Proposed_Next_Channel_Of_interaction
19-Sep-19,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,20,3,New York City,East Coast,20.2K,17K,15.2K,3.7,3,15,17,120000,300,0,16,20,7,0,1,0,1,1,0,0,300,Yes,Analyse competators strengths & weaknesses and determine your competative advange,Discussion on Principal Investigator Support,Indentifying Principal Investigator for the clinical trial,,In-Person,Clinical Trial-Zortobombib Drug,Indentifying Principal Investigator for the Clinical trial who has substantial experience as PI in past and how much support he can provide in Clinical Trial,Indentifying Principal Investigator for the Clinical trial who has substantial experience as PI in past,Neutral,Safety : Discussion on Safety Measures,Video Call
22-Mar-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.4K,17.2K,15.5K,3.8,3,16,17,130000,300,0,17,21,7,0,1,0,1,1,0,0,315,Yes,Indentifying Principal Investigator for the clinical trial,Safety,Safety measures of the drug on general patients,,Video Call,Clinical Trial-Zortobombib Drug,To discuss the safety measures of drug on general patients and discuss complications if any,Safety measures and its complications,Neutral,Safety : discussion regarding efficay and accuracy of drug,In-Person
6-May-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.6K,17.5K,15.7K,3.8,3,16,17,130000,300,0,17,21,7,0,1,0,1,1,0,0,315,Yes,Safety measures of the drug on general patients,Efficacy & Accuracy of Drug,Efficacy and effectivenes of drug,,In-Person,Clinical Trial-Zortobombib Drug,Discussion on efficacy and its ability to eliminate the disease,efficacy and accuracy of drug,Neutral,Safety : Patient Safety during Clinical Trial,Video Call
28-May-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.6K,17.5K,15.7K,3.8,3,16,17,130000,300,0,17,21,7,0,1,0,1,1,0,0,315,Yes,Efficacy & Accuracy of Drug,Patient Safety during Clinical Trial,Patient Safety during Clinical Trial,,Video Call,Clinical Trial-Zortobombib Drug,Patient Safety during Clinical Trial,"Are there risks to taking part in the trial?
 Who is watching out for any problems?
 Who is making sure that people who take part are safe?
 Is the trial trying to answer an important research question?",Neutral,Discusion Regarding informed Consent,Video Call
1-Jun-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.6K,17.5K,15.7K,3.8,3,16,17,130000,300,0,17,21,7,0,1,0,1,1,0,0,315,Yes,Patient Safety during Clinical Trial,Discusion Regarding informed Consent of Patient,Discusion Regarding informed Consent of Patient,,Video Call,Clinical Trial-Zortobombib Drug,Discusion Regarding informed Consent of Patient,"To discuss regarding 
 Procedures
 Risks and benefits and the rights of patients , treatment options in case of adverse events",Neutral,Discussion rules and regulations to be followed for Safety of Clinical Trial,In-Person
7-Jul-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.6K,17.5K,15.7K,3.8,3,16,17,130000,300,0,17,21,7,0,1,0,1,1,0,0,315,Yes,"To discuss regarding 
 Procedures
 Risks and benefits and the rights of patients , treatment options in case of adverse events",Discussion rules and regulations to be followed for Safety of Clinical Trial,Review & Approval for Clinical trial,,In-Person,Clinical Trial-Zortobombib Drug,Discussion rules and regulations to be followed for Safety of Clinical Trial,Review & Approval for Clinical trial,Neutral,Discussion rules and regulations to be followed for Safety of Clinical Trial,Phone Call
19-Sep-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.8K,17.8K,15.8K,3.8,3,17,17,140000,300,0,17,21,7,0,1,0,1,1,0,0,315,No,Review & Approval for Clinical trial,Discussion rules and regulations to be followed for Safety of Clinical Trial,Identifying organization who will monitor ongoing trials,,Phone Call,Clinical Trial-Zortobombib Drug,Discussion rules and regulations to be followed for Safety of Clinical Trial,Identifying organization who will monitor ongoing trials,Neutral,Regulatory Guidelines,Video Call
22-Dec-20,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,21,3,New York City,East Coast,20.8K,17.8K,15.8K,3.8,4,17,17,140000,300,0,17,21,7,0,1,0,1,1,0,0,315,No,Identifying organization who will monitor ongoing trials,Regulatory Guidelines,Discussion on IRB Registration Reqirements,,Video Call,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion on IRB Registration Reqirements,Neutral,Regulatory Guidelines,Video Call
6-Feb-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,20.9K,17.8K,15.9K,3.8,4,17,18,140000,300,0,18,21,7,0,1,0,1,1,0,0,330,No,Discussion on IRB Registration Reqirements,Regulatory Guidelines,Discussion on Financial Disclosure by Clinical Investigators,,Video Call,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion on Financial Disclosure by Clinical Investigators,Neutral,Discussion regarding submitting application for investigational new drug,In-Person
19-Apr-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,20.9K,17.8K,15.9K,3.8,4,17,18,140000,300,0,18,21,8,0,1,0,1,1,0,0,330,No,Discussion on Financial Disclosure by Clinical Investigators,Regulatory Guidelines,Discussion regarding submitting application for investigational new drug,,In-Person,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion regarding submitting application for investigational new drug,Neutral,Discuss various phases of testing in patients,Video Call
22-Jun-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,20.9K,17.8K,15.9K,3.8,4,18,18,160000,300,0,18,21,8,0,1,0,1,1,0,0,330,No,Discussion regarding submitting application for investigational new drug,Discuss various phases of testing in patients,how many phases will be needed for testing particular drug,,Video Call,Clinical Trial-Zortobombib Drug,Discuss various phases of testing in patients,how many phases will be needed for testing particular drug,Neutral,Discussion regarding various demographic sites where clinical trial will take place,Phone Call
6-Aug-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,20.9K,17.8K,15.9K,3.8,4,18,18,160000,300,0,18,22,8,0,1,0,1,1,0,0,330,No,how many phases will be needed for testing particular drug,Discussion regarding various demographic sites where clinical trial will take place,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial",,Phone Call,Clinical Trial-Zortobombib Drug,Discussion regarding various demographic sites where clinical trial will take place,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial",Neutral,"To discuss about the claims,insurance and copay programs",Video Call
19-Oct-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21K,19K,17K,3.9,4,18,18,160000,300,0,18,22,8,0,1,0,1,1,0,0,330,No,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial","To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",,Video Call,Clinical Trial-Zortobombib Drug,"To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Neutral,Discuss compliance and ethical practices,Phone Call
22-Dec-21,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21K,19K,17K,3.9,4,18,18,160000,300,0,18,22,8,0,1,0,1,1,0,0,330,No,Product overview and its differentiating way,Discussion regarding claims/insurance and copay programs,"Claims made,Insurance Coverage,Training,Customer Support Programs",,Video Conference,Clinical Trial-Zortobombib Drug,"To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Good,Technical feasibility,In-Person
6-Mar-22,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21K,19K,17K,3.9,4,18,19,160000,300,0,21,22,8,0,1,0,1,1,0,0,330,No,"Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Technical feasibility,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",,In-Person,Clinical Trial-Zortobombib Drug,Technical feasibility,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",Good,Financial feasibility,In-Person
19-May-22,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21K,19K,17K,3.9,4,18,19,160000,300,0,21,22,8,0,1,0,1,1,0,0,330,No,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",Financial feasibility,To discuss on ROI and also outlinle financial risks,,In-Person,Clinical Trial-Zortobombib Drug,Financial feasibility,To discuss on ROI and also outlinle financial risks,Good,Market Feasibility,Video Call
22-Jul-22,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21.2K,20K,17.3K,3.9,4,18,19,160000,300,1,22,22,8,0,1,0,1,1,0,0,330,No,To discuss on ROI and also outlinle financial risks,Market feasibility,"market analysis, market competition breakdown, and sales projections.",,Video Call,Clinical Trial-Zortobombib Drug,Market feasibility,"market analysis, market competition breakdown, and sales projections.",Good,Operational Feasibility,Video Call
6-Sep-22,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21.6K,20.4K,17.7K,3.9,4,18,19,160000,300,1,22,22,8,0,1,0,1,1,0,0,330,No,"market analysis, market competition breakdown, and sales projections.",Operational feasibility,"Discussion regarding resources, skills, and competencies to conduct clinical trials",,Video Call,Clinical Trial-Zortobombib Drug,Operational feasibility,"Discussion regarding resources, skills, and competencies to conduct clinical trials",Good,Review points of vulnerability during conducting of clinical trials,Video Call
19-Nov-22,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,22,3,New York City,East Coast,21.6K,20.4K,17.7K,3.9,4,18,19,160000,300,1,22,22,8,0,1,0,1,1,0,0,330,No,"Discussion regarding resources, skills, and competencies to conduct clinical trials",Review points of vulnerability during conducting of clinical trials,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,,Video Call,Clinical Trial-Zortobombib Drug,Review points of vulnerability during conducting of clinical trials,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,Good,discussion on the clinical trial feasibility challenges,Phone Call
22-Jan-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,300,1,23,23,8,0,1,0,1,1,0,0,345,No,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,discussion on the clinical trial feasibility challenges,Finding eligible patients in particular sites with specific disease,,Phone Call,Clinical Trial-Zortobombib Drug,discussion on the clinical trial feasibility challenges,Findiding eligible patients in particular sites with specific disease,Good,Discussion on Post Clinical Trial follow up,Video Call
6-Mar-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,300,1,23,23,8,0,1,0,1,1,0,0,345,No,Finding eligible patients in particular sites with specific disease,Discussion on Post Clinical Trial follow up,Discussion regarding methods that can be used for post clinical trial follow up,,Video Call,Clinical Trial-Zortobombib Drug,Discussion on Post Clinical Trial follow up,Discussion regarding methods that can be used for post clinical trial follow up,Good,Discussion on registering the drug to FDA,In-Person
7-May-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,300,1,23,23,8,0,1,0,1,1,0,0,345,No,Discussion regarding methods that can be used for post clinical trial follow up,Discussion on registering the drug to FDA,Discussion regarding submission of the clinical trial results for approval to be used in general public,,In-Person,Clinical Trial-Zortobombib Drug,Discussion on registering the drug to FDA,Discussion regarding submission of the clinical trial results for approval to be used in general public,Good,Discussion regarding Phase 4 trial,Video Call
8-Jul-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,300,1,23,23,8,0,1,0,1,1,0,0,345,No,Discussion regarding submission of the clinical trial results for approval to be used in general public,Discussion regarding Phase 4 trial,Discussion to check the drug's performance in real life scenarios,,Video Call,Clinical Trial-Zortobombib Drug,Discussion regarding Phase 4 trial,Discussion to check the drug's performance in real life scenarios,Good,Discussion regarding long-term risks and benefits of using the drug,Video Call
10-Oct-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,300,1,23,23,8,0,1,0,1,1,0,0,345,No,Discussion to check the drug's performance in real life scenarios,Discussion regarding long-term risks and benefits of using the drug,Discussion regarding long-term risks and benefits of using the drug,,Video Call,Clinical Trial-Zortobombib Drug,Discussion regarding long-term risks and benefits of using the drug,Discussion regarding long-term risks and benefits of using the drug,Good,Discussion regarding rare side effects.,In-Person
10-Dec-23,Jacob Schiller,National,"MD,PhD",Oncology,Myleoma Cancer,23,3,New York City,East Coast,22K,21K,18.4K,4,4,19,20,170000,400,1,23,23,8,0,1,0,1,1,0,0,345,No,Discussion regarding long-term risks and benefits of using the drug,Discussion regarding rare side effects.,Discussion regarding rare side effects.,,In-Person,Clinical Trial-Zortobombib Drug,Discussion regarding rare side effects.,Discussion regarding rare side effects.,Good,,
21-Apr-19,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,25,2,Oregon,West Coast,10K,15K,15K,3.6,3,15,18,11000,550,0,15,20,6,0,1,0,1,1,0,0,250,Yes,,Analysis of various competators in industry,Identifying various competators and gather information about them,,In-Person,Clinical Trial-Zortobombib Drug,identifying competitors in industry,Analysis of various competators in industry,Neutral,Analyse competators strengths & weaknesses and determine your competative advange,Phone Call
13-May-19,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,25,2,Oregon,West Coast,10K,15K,15K,3.6,3,15,18,11000,550,0,15,20,6,0,1,0,1,1,0,0,250,Yes,Identifying various competators and gather information about them,Analysis of various competators in industry,Analyse competators strengths & weaknesses and determine your competative advange,,Email,Clinical Trial-Zortobombib Drug,To determine competative advantage by analysing strengths and weaknesses of Competators,Analyse competators strengths & weaknesses and determine your competative advange,Neutral,Discussion on Principal Investigator Support,In-Person
21-Jul-19,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,25,2,Oregon,West Coast,10.2K,15K,15.2K,3.7,3,15,18,11000,550,0,16,20,6,0,1,0,1,1,0,0,250,Yes,Analyse competators strengths & weaknesses and determine your competative advange,Discussion on Principal Investigator Support,Indentifying Principal Investigator for the clinical trial,,In-Person,Clinical Trial-Zortobombib Drug,Indentifying Principal Investigator for the Clinical trial who has substantial experience as PI in past and how much support he can provide in Clinical Trial,Indentifying Principal Investigator for the Clinical trial who has substantial experience as PI in past,Neutral,Safety : Discussion on Safety Measures,Video Call
22-Oct-19,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,25,2,Oregon,West Coast,10.4K,15.2K,15.5K,3.7,3,16,18,13000,550,0,17,21,6,0,1,0,1,1,0,0,250,Yes,Indentifying Principal Investigator for the clinical trial,Safety,Safety measures of the drug on general patients,,Video Call,Clinical Trial-Zortobombib Drug,To discuss the safety measures of drug on general patients and discuss complications if any,Safety measures and its complications,Neutral,Safety : discussion regarding efficay and accuracy of drug,In-Person
6-Dec-19,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,25,2,Oregon,West Coast,10.6K,15.5K,15.7K,3.7,3,16,18,13000,550,0,17,21,6,0,1,0,1,1,0,0,250,Yes,Safety measures of the drug on general patients,Efficacy & Accuracy of Drug,Efficacy and effectivenes of drug,,In-Person,Clinical Trial-Zortobombib Drug,Discussion on efficacy and its ability to eliminate the disease,efficacy and accuracy of drug,Neutral,Safety : Patient Safety during Clinical Trial,Video Call
28-Jan-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.6K,15.5K,15.7K,3.7,3,16,18,13000,550,0,17,21,6,0,1,0,1,1,0,0,260,Yes,Efficacy & Accuracy of Drug,Patient Safety during Clinical Trial,Patient Safety during Clinical Trial,,Video Call,Clinical Trial-Zortobombib Drug,Patient Safety during Clinical Trial,"Are there risks to taking part in the trial?
 Who is watching out for any problems?
 Who is making sure that people who take part are safe?
 Is the trial trying to answer an important research question?",Neutral,Discusion Regarding informed Consent,Video Call
28-Mar-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.6K,15.5K,15.7K,3.7,3,16,18,13000,550,0,17,21,6,0,1,0,1,1,0,0,260,Yes,Patient Safety during Clinical Trial,Discusion Regarding informed Consent of Patient,Discusion Regarding informed Consent of Patient,,Video Call,Clinical Trial-Zortobombib Drug,Discusion Regarding informed Consent of Patient,"To discuss regarding 
 Procedures
 Risks and benefits and the rights of patients , treatment options in case of adverse events",Neutral,Discussion rules and regulations to be followed for Safety of Clinical Trial,In-Person
30-Apr-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.6K,15.5K,15.7K,3.7,3,16,18,13000,550,0,17,21,6,0,1,0,1,1,0,0,260,Yes,"To discuss regarding 
 Procedures
 Risks and benefits and the rights of patients , treatment options in case of adverse events",Discussion rules and regulations to be followed for Safety of Clinical Trial,Review & Approval for Clinical trial,,In-Person,Clinical Trial-Zortobombib Drug,Discussion rules and regulations to be followed for Safety of Clinical Trial,Review & Approval for Clinical trial,Neutral,Discussion rules and regulations to be followed for Safety of Clinical Trial,Phone Call
1-Jun-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.8K,15.8K,15.8K,3.7,3,17,18,14000,550,0,17,21,6,0,1,0,1,1,0,0,260,No,Review & Approval for Clinical trial,Discussion rules and regulations to be followed for Safety of Clinical Trial,Identifying organization who will monitor ongoing trials,,Phone Call,Clinical Trial-Zortobombib Drug,Discussion rules and regulations to be followed for Safety of Clinical Trial,Identifying organization who will monitor ongoing trials,Neutral,Regulatory Guidelines,Video Call
22-Aug-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.8K,15.8K,15.8K,3.7,4,17,18,14000,550,0,17,21,6,0,1,0,1,1,0,0,260,No,Identifying organization who will monitor ongoing trials,Regulatory Guidelines,Discussion on IRB Registration Reqirements,,Video Call,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion on IRB Registration Reqirements,Neutral,Regulatory Guidelines,Video Call
22-Sep-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.9K,15.8K,15.9K,3.7,4,17,19,14000,550,0,18,21,6,0,1,0,1,1,0,0,260,No,Discussion on IRB Registration Reqirements,Regulatory Guidelines,Discussion on Financial Disclosure by Clinical Investigators,,Video Call,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion on Financial Disclosure by Clinical Investigators,Neutral,Discussion regarding submitting application for investigational new drug,In-Person
19-Oct-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.9K,15.8K,15.9K,3.7,4,17,19,14000,550,0,18,21,6,0,1,0,1,1,0,0,260,No,Discussion on Financial Disclosure by Clinical Investigators,Regulatory Guidelines,Discussion regarding submitting application for investigational new drug,,In-Person,Clinical Trial-Zortobombib Drug,Regulatory Guidelines,Discussion regarding submitting application for investigational new drug,Neutral,Discuss various phases of testing in patients,Video Call
22-Nov-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.9K,15.8K,15.9K,3.7,4,18,19,20000,550,0,18,21,6,0,1,0,1,1,0,0,260,No,Discussion regarding submitting application for investigational new drug,Discuss various phases of testing in patients,how many phases will be needed for testing particular drug,,Video Call,Clinical Trial-Zortobombib Drug,Discuss various phases of testing in patients,how many phases will be needed for testing particular drug,Neutral,Discussion regarding various demographic sites where clinical trial will take place,Phone Call
12-Dec-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,10.9K,15.8K,15.9K,3.7,4,18,19,20000,550,0,18,22,6,0,1,0,1,1,0,0,260,No,how many phases will be needed for testing particular drug,Discussion regarding various demographic sites where clinical trial will take place,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial",,Phone Call,Clinical Trial-Zortobombib Drug,Discussion regarding various demographic sites where clinical trial will take place,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial",Neutral,"To discuss about the claims,insurance and copay programs",Video Call
19-Oct-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,11K,16K,17K,3.8,4,18,19,20000,550,0,18,22,6,0,1,0,1,1,0,0,260,No,"Discussion regarding demographic sites, age group , ethinicity , sex of the various patients whose will take part in clinical trial","To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",,Video Call,Clinical Trial-Zortobombib Drug,"To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Neutral,Discuss compliance and ethical practices,Phone Call
22-Dec-20,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,26,2,Oregon,West Coast,11K,16K,17K,3.8,4,18,19,20000,550,0,18,22,6,0,1,0,1,1,0,0,260,No,Product overview and its differentiating way,Discussion regarding claims/insurance and copay programs,"Claims made,Insurance Coverage,Training,Customer Support Programs",,Video Conference,Clinical Trial-Zortobombib Drug,"To discuss about the claims,insurance and copay programs","Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Good,Technical feasibility,In-Person
6-Mar-21,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,27,2,Oregon,West Coast,11K,16K,17K,3.8,4,18,20,20000,550,0,21,22,6,0,1,0,1,1,0,0,270,No,"Liability Insurance,Claims regarding a product,Training programs,customer support programs,Loyalty or reward programs",Technical feasibility,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",,In-Person,Clinical Trial-Zortobombib Drug,Technical feasibility,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",Good,Financial feasibility,In-Person
19-May-21,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,27,2,Oregon,West Coast,11K,16K,17K,3.8,4,18,20,20000,550,0,21,22,6,0,1,0,1,1,0,0,270,No,"Discussion regarding right equipment, enough equipment, and the right technical knowledge to complete clinical trial",Financial feasibility,To discuss on ROI and also outlinle financial risks,,In-Person,Clinical Trial-Zortobombib Drug,Financial feasibility,To discuss on ROI and also outlinle financial risks,Good,Market Feasibility,Video Call
22-Jul-21,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,27,2,Oregon,West Coast,11.2K,17K,17.3K,3.8,4,18,20,20000,550,1,22,22,6,0,1,0,1,1,0,0,270,No,To discuss on ROI and also outlinle financial risks,Market feasibility,"market analysis, market competition breakdown, and sales projections.",,Video Call,Clinical Trial-Zortobombib Drug,Market feasibility,"market analysis, market competition breakdown, and sales projections.",Good,Operational Feasibility,Video Call
6-Sep-21,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,27,2,Oregon,West Coast,11.6K,17.4K,17.7K,3.8,4,18,20,20000,550,1,22,22,6,0,1,0,1,1,0,0,270,No,"market analysis, market competition breakdown, and sales projections.",Operational feasibility,"Discussion regarding resources, skills, and competencies to conduct clinical trials",,Video Call,Clinical Trial-Zortobombib Drug,Operational feasibility,"Discussion regarding resources, skills, and competencies to conduct clinical trials",Good,Review points of vulnerability during conducting of clinical trials,Video Call
19-Nov-21,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,27,2,Oregon,West Coast,11.6K,17.4K,17.7K,3.8,4,18,20,20000,550,1,22,22,6,0,1,0,1,1,0,0,270,No,"Discussion regarding resources, skills, and competencies to conduct clinical trials",Review points of vulnerability during conducting of clinical trials,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,,Video Call,Clinical Trial-Zortobombib Drug,Review points of vulnerability during conducting of clinical trials,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,Good,discussion on the clinical trial feasibility challenges,Phone Call
22-Jan-22,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,28,2,Oregon,West Coast,12K,18K,18.4K,3.8,4,19,21,25000,550,1,23,23,6,0,1,0,1,1,0,0,280,No,Discussion on creating contingency plan to list down all vulnerabilities and how to tackle them,discussion on the clinical trial feasibility challenges,Finding eligible patients in particular sites with specific disease,,Phone Call,Clinical Trial-Zortobombib Drug,discussion on the clinical trial feasibility challenges,Findiding eligible patients in particular sites with specific disease,Good,Discussion on Post Clinical Trial follow up,Video Call
6-Mar-22,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,28,2,Oregon,West Coast,12K,18K,18.4K,3.8,4,19,21,25000,600,1,23,23,6,0,1,0,1,1,0,0,280,No,Finding eligible patients in particular sites with specific disease,Discussion on Post Clinical Trial follow up,Discussion regarding methods that can be used for post clinical trial follow up,,Video Call,Clinical Trial-Zortobombib Drug,Discussion on Post Clinical Trial follow up,Discussion regarding methods that can be used for post clinical trial follow up,Good,Discussion on registering the drug to FDA,In-Person
7-May-22,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,28,2,Oregon,West Coast,12K,18K,18.4K,3.8,4,19,21,25000,600,1,23,23,6,0,1,0,1,1,0,0,280,No,Discussion regarding methods that can be used for post clinical trial follow up,Discussion on registering the drug to FDA,Discussion regarding submission of the clinical trial results for approval to be used in general public,,In-Person,Clinical Trial-Zortobombib Drug,Discussion on registering the drug to FDA,Discussion regarding submission of the clinical trial results for approval to be used in general public,Good,Discussion regarding Phase 4 trial,Video Call
8-Jul-22,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,28,2,Oregon,West Coast,12K,18K,18.4K,3.8,4,19,21,25000,600,1,23,23,6,0,1,0,1,1,0,0,280,No,Discussion regarding submission of the clinical trial results for approval to be used in general public,Discussion regarding Phase 4 trial,Discussion to check the drug's performance in real life scenarios,,Video Call,Clinical Trial-Zortobombib Drug,Discussion regarding Phase 4 trial,Discussion to check the drug's performance in real life scenarios,Good,Discussion regarding long-term risks and benefits of using the drug,Video Call
10-Oct-22,Leigh Legros,National,"MD,PhD",Oncology,Myleoma Cancer,28,2,Oregon,West Coast,12K,18K,18.4K,3.8,4,19,21,25000,600,1,23,23,6,0,1,0,1,1,0,0,280,No,Discussion to check the drug's performance in real life scenarios,Discussion regarding long-term risks and benefits of using the drug,Discussion regarding long-term risks and benefits of using the drug,,Video Call,Clinical Trial-Zortobombib Drug,Discussion regarding long-term risks and benefits of using the drug,Discussion regarding long-term risks and benefits of using the drug,Good,Discussion regarding rare side effects.,In-Person
